33330 12
28011 9 27463
13384 9 10509
12689 9 18737
11497 11 17256
4900 9 9634
98 2 22488
10227 0 26506
25772 9 12689
31951 2 29754
32863 0 3685
28011 9 6100
15295 0 12557
10741 0 14308
10931 0 22039
16287 9 33313
14911 7 2792
12689 9 12289
32592 9 12689
12289 9 30793
29208 0 2380
25514 9 17063
16499 0 547
13228 9 24547
6635 0 14807
27202 0 26867
10893 9 12689
18331 9 9464
24068 11 22031
8993 6 15453
999 11 18899
22183 9 15200
17054 9 12689
24643 9 19025
30190 11 25070
9823 9 23575
28011 9 20222
29038 0 2559
21273 9 17463
12362 9 12689
15966 0 5747
32235 4 1841
23598 9 17539
13105 9 18514
11202 7 18542
31017 9 28664
17802 11 20212
17315 0 5292
28011 9 18714
4896 9 17139
2792 9 9634
27806 9 27806
31934 9 10227
2375 9 16287
24003 11 18265
23727 9 12689
4506 7 4161
18711 3 29311
31856 11 5179
23962 11 24898
23859 7 16718
6954 9 9548
398 9 2336
12897 7 18565
12689 9 32250
12647 8 22922
17828 11 650
20215 10 24913
24427 0 28816
31437 0 2106
25454 9 27697
25190 6 7025
12030 9 28011
10752 9 906
8185 6 15030
4801 9 10706
12505 9 31393
18829 2 10750
28011 9 20878
23000 11 6953
11785 11 15598
24932 11 19296
26036 9 12689
9823 9 18018
4217 0 3811
6413 0 21610
18181 9 28011
98 9 12121
24749 3 6635
8315 11 27688
11019 0 16974
14214 9 28011
31427 6 6378
24507 9 12689
17207 9 28664
2979 0 22873
26124 0 567
28600 9 12689
12289 9 227
23915 3 21761
1635 9 5674
17376 9 19296
12689 9 792
22674 0 2387
25459 11 24696
3697 9 4647
1498 8 23264
30760 2 15747
24891 9 28011
20077 11 12016
5322 8 29442
32244 3 14456
9003 0 31292
5773 7 23222
11890 9 25358
1497 9 14551
9239 11 26911
8579 11 29198
25616 11 32445
14668 8 18805
14439 5 21351
30111 0 19932
11701 9 1093
3914 9 30244
28011 9 7946
12689 9 29038
23177 11 24254
33311 9 26036
12689 9 32951
1177 0 11955
17254 6 12124
21951 8 27397
27384 0 23271
12689 9 31061
12289 9 12689
31082 11 15761
25606 8 15593
19885 0 11824
18976 9 9823
14068 9 19956
5188 9 25973
4536 0 19937
25710 0 10691
4307 3 13493
2375 9 12188
25715 9 12689
32063 0 16040
26633 11 23818
29257 2 30054
30278 0 5219
21574 9 20365
13679 0 13110
369 0 26331
12359 0 17072
5618 9 2629
10580 9 25084
20226 2 15177
12689 9 9457
13018 11 27896
12689 9 31994
5436 11 29129
15814 9 22886
15869 10 9766
16353 11 27295
21574 9 98
30760 2 2254
10197 9 27532
7314 9 2875
13532 0 8947
13210 9 18141
12689 9 9634
12689 9 12689
12994 11 26499
18135 0 26754
14214 9 13801
28011 9 24629
9509 9 28011
1735 0 11033
28155 9 10686
33313 9 21280
18471 9 12689
22982 9 13894
10883 11 15284
4347 5 19508
15734 11 16127
14024 9 28011
25070 0 5585
29598 4 16
13131 9 28011
11114 11 5551
14869 9 28011
3972 9 29086
28462 2 9996
3972 9 4014
21680 5 12208
14776 9 24651
26598 5 18930
15632 6 1129
26377 9 17507
29725 9 27892
33191 9 10235
1636 9 12689
32138 9 21056
8479 10 25141
20652 0 6474
9895 8 15077
24909 9 906
26001 9 28011
18899 11 6165
30749 9 33311
30434 9 15701
11395 11 21074
13249 7 13249
4757 0 12743
28777 0 9427
18988 9 894
30779 9 6303
14384 9 30049
28011 9 12046
2147 5 9591
