33330 12
20207 9 20958
20513 9 12689
263 7 263
27794 9 866
27015 0 13065
12289 9 9004
7184 4 28030
16309 9 6927
26666 6 20864
23488 9 24614
5061 5 32306
9634 9 19211
8323 2 11387
9634 9 19211
20257 8 24111
26442 9 12689
20170 9 22488
4470 9 24775
24254 0 30757
13697 9 18193
16374 7 29018
27821 9 32215
3715 0 14931
16093 9 28011
766 9 3955
12689 9 11213
11596 9 30915
5977 9 18471
24860 9 28011
21824 0 6475
9634 9 8009
27368 8 6187
14858 9 12689
21570 0 11734
28926 9 23466
28672 0 6858
28011 9 26745
9428 0 15954
9548 9 12689
21847 9 25156
13314 9 18714
8275 0 26743
29052 9 8658
32976 6 674
6954 9 29411
32636 0 4314
21737 9 2375
22276 0 14079
24530 9 12689
28939 6 19112
28011 9 21892
6437 2 16931
9419 9 12689
1691 0 1193
28011 9 9419
32712 0 2163
18976 9 23599
28011 9 12689
28011 9 12689
28011 9 25543
22031 0 23640
29326 9 6578
24517 9 12689
21331 9 12689
19465 6 22067
8523 9 4014
23931 0 24023
7284 9 6843
25729 0 29166
9634 9 11725
21926 0 17274
24303 9 6980
2956 0 28722
1812 9 24829
31128 8 21747
28011 9 25964
19574 3 21956
29968 9 4801
27551 0 16543
26640 9 7618
32204 0 7906
2375 9 15408
6721 9 17054
25874 0 14795
7695 9 12689
14359 0 30002
28011 9 7223
22061 0 7801
1326 9 12289
12689 9 12794
4224 3 10936
12289 9 8860
12188 9 28011
2586 0 32850
23609 9 12689
22379 5 24242
12289 9 10846
6908 0 9709
21280 9 13236
17518 0 5714
98 9 21826
23929 7 15412
22526 9 3709
1159 0 28080
25997 9 28011
12689 9 13832
8323 2 31204
28011 9 8101
6537 0 31535
19690 9 19732
2336 9 26445
32679 8 19725
7354 9 2336
3972 9 12383
19711 0 16415
4185 9 4633
26660 10 31314
20770 9 12289
6931 0 5295
28011 9 21057
32965 0 23205
13131 9 12689
12362 9 4743
30667 8 20283
3354 9 14214
19751 9 12188
6011 8 20313
3955 9 14184
14976 0 11618
12689 9 29086
20372 5 2788
2708 9 12689
25205 0 20498
12689 9 24449
26111 9 5440
29831 8 8775
12689 9 4615
8850 0 10102
22999 9 4470
4405 9 25160
14203 6 14203
6414 9 12289
9804 8 4380
28011 9 12689
12689 9 12289
5463 0 29164
17251 9 12689
17686 0 13326
32629 9 13008
12765 0 17828
13832 9 9634
9840 8 21124
12411 9 3924
21832 0 20617
12689 9 17934
25274 7 17934
5742 9 5742
31942 9 12121
5463 0 7911
22183 9 12689
17307 9 438
17698 9 12689
7765 3 30989
4249 9 13313
1623 0 13255
27064 9 98
20444 0 9370
13029 9 12689
12362 9 26036
13603 0 23982
227 9 26429
21280 9 23148
23355 3 23598
28011 9 15483
18936 0 24262
1112 9 29062
27786 5 26300
2375 9 17698
7230 0 16039
28011 9 30780
9567 7 17240
19384 9 28011
23466 9 6100
22796 9 7808
26312 5 3
12689 9 15375
20290 10 28650
12689 9 4249
27566 3 7329
19737 9 8595
16647 0 27495
9509 9 28926
16395 7 14945
12689 9 16287
29998 0 12574
4562 9 10213
31951 2 17800
25902 9 20698
29086 9 18219
31462 0 3647
12689 9 6066
20519 7 31053
19204 9 28011
30558 7 8522
3506 9 15579
15489 9 28011
2061 9 13131
9468 9 12362
32262 0 28604
12689 9 12689
243 0 11819
28459 9 15105
22724 0 17973
11670 9 30360
20016 5 19319
7651 9 12362
13603 0 17623
12689 9 324
20567 9 12689
17927 0 32856
1944 9 420
32863 0 2142
3231 9 23650
7571 10 16156
18970 9 12689
22508 5 13485
26124 9 18269
25395 0 12413
22488 9 28011
6835 1 7902
12689 9 28011
30218 1 2492
28011 9 7131
2528 9 9457
30857 4 16139
32200 9 12383
2700 0 26732
19825 9 7940
4801 9 3405
15153 3 4249
11345 9 31934
1906 8 24259
227 9 10596
9075 3 16383
30749 9 28011
9921 3 4249
22918 9 28011
12689 9 16838
12390 9 28011
26911 0 10307
32277 9 27669
2792 9 2459
13769 7 1147
28960 9 9634
5834 9 26088
125 2 20810
398 9 28011
13551 9 7882
14102 5 27907
24527 9 27844
3273 9 2254
1300 6 13983
4959 9 28011
26967 0 4030
22729 9 9634
12689 9 1080
30929 5 91
323 9 9515
23316 8 31601
1084 9 28011
13493 0 11751
12689 9 19149
6908 9 13551
29062 9 12289
21537 8 30221
28063 9 5606
15558 10 3808
4801 9 24811
32698 1 32749
9397 9 12689
21862 5 9514
28011 9 10289
31104 6 5501
26001 9 15579
19296 9 7458
1710 7 11209
17846 9 9634
5825 0 8885
3072 9 19956
4249 0 14371
19722 9 12689
19300 7 29058
5742 9 12188
13376 10 98
28011 9 12689
2133 5 2206
12689 9 2137
28011 9 16795
9973 0 29292
6578 9 12689
7973 6 8752
17259 9 28011
15915 8 22389
12689 9 4743
27022 9 17158
20387 6 29725
12689 9 11728
10867 7 27892
2507 9 15083
4249 0 2774
29725 9 12689
6314 7 13282
31123 9 14853
2297 0 2342
28011 9 28011
13189 0 16156
17226 9 21273
18393 6 4654
28011 9 3004
31946 0 30622
5257 9 12689
21956 0 3661
28011 9 16093
12689 9 8595
5134 3 27338
12689 9 14392
17291 6 5552
22435 9 24517
14485 2 5101
14957 9 28011
13493 0 24852
125 9 12689
5838 8 30994
28011 9 15200
5157 9 16568
5637 0 7815
27226 9 4193
25526 7 7332
10497 9 22320
24792 3 13966
22458 9 21907
1523 9 8402
21125 8 10334
16118 9 26981
24441 0 7786
22837 9 17962
15363 8 4323
30674 9 28011
8219 0 18399
28011 9 11195
14832 9 15701
420 9 12689
19130 9 3979
10131 8 19594
26604 9 33237
15633 0 19122
12689 9 19149
1691 0 32386
19050 9 28011
22031 0 25534
28011 9 19690
17401 0 12694
6578 9 12689
29874 0 27205
7354 9 19204
30726 9 13049
28256 0 15560
28011 9 12689
12566 0 3110
3245 9 12689
14164 5 8259
28011 9 23369
13667 9 3955
9417 7 12952
12188 9 12704
12115 9 12689
30672 0 2991
12689 9 3955
27729 0 1386
12689 9 28011
26172 6 24176
28938 9 12234
17059 3 17321
23633 9 4633
1812 9 18567
11603 8 18918
12689 9 9266
3111 6 14987
15178 9 12689
11776 0 20187
31123 9 17867
20924 0 19463
3231 9 28011
16906 0 6467
16867 9 3972
18081 0 7091
19343 9 12689
23776 9 9756
13314 9 21907
24530 9 22022
14840 9 30726
17397 8 19511
12289 9 18714
18633 6 12267
21273 9 10197
7514 0 29052
18929 9 28011
10398 3 5052
12289 9 8402
23746 10 8660
16378 9 28011
27794 10 16156
25222 9 22203
8101 0 6635
5123 9 28011
26990 3 13493
20019 9 28764
27931 3 22025
28011 9 9381
31061 0 21390
175 9 32252
30674 6 21586
24811 9 22551
8920 9 17102
9356 6 9758
28223 9 23878
8745 8 15930
17139 9 26255
30774 0 1396
3124 9 27192
25337 9 25833
18934 3 4249
6925 9 28011
29257 2 16014
30797 9 15794
9163 8 4719
33037 9 28011
12284 8 5610
28946 9 1112
29793 9 25794
26351 5 26575
1291 9 3548
1321 5 3136
21864 9 26008
14551 9 28011
6978 0 16360
12689 9 32382
33263 0 26060
32146 9 16968
13906 0 11511
14726 9 28011
28011 9 420
25968 5 14642
3569 9 12973
5768 1 16121
16378 9 3245
33125 7 7860
27519 9 10904
11004 5 8515
19690 9 13832
6365 0 19626
3388 9 4801
1623 0 23468
30797 9 4801
25710 0 28087
30654 9 30337
17386 6 23456
28011 9 12362
8481 5 19469
28011 9 25554
5004 5 23333
13127 9 12689
28081 9 28081
10936 0 515
12689 9 9859
9557 10 16718
4532 9 21429
14198 5 528
25514 9 12689
13625 9 22068
20660 5 4346
28011 9 25113
6008 2 20436
12689 9 11622
30769 8 11760
16339 9 9756
12711 6 12460
16838 9 9419
29608 9 14214
16589 3 16646
6297 9 31347
32215 0 6581
11462 9 3124
11806 7 29264
25113 9 12689
24196 5 14733
26001 9 3354
3147 0 33197
9557 9 4801
13477 0 3333
33311 9 12289
8049 0 4047
10893 9 1394
24664 6 22083
28011 9 5674
6255 5 8802
14813 9 6398
19384 9 12689
5743 8 26910
27420 9 24547
11660 5 31633
9634 9 6112
20876 4 11933
12689 9 1326
20792 0 8349
16985 9 15988
17796 3 4249
12689 9 12362
15662 8 21535
3717 9 21273
4978 8 23547
28011 9 7933
29164 0 24252
11019 9 9419
28112 6 14875
25852 9 9634
5340 9 28011
21948 6 15003
13493 9 25772
20844 0 30519
18269 9 930
1425 0 26481
12689 9 28011
13455 7 20535
7513 9 21908
19739 8 12268
27844 9 23490
6112 9 9485
12826 9 28011
18611 3 2759
29725 9 26982
88 0 32778
31123 9 33265
604 0 8779
25315 9 1623
14910 0 16964
3379 9 27150
30748 8 12257
31821 9 27226
31523 0 15827
16378 9 9015
27420 9 15887
19077 1 10065
13946 9 3405
10135 0 10506
12289 9 9634
18929 9 18269
7251 0 26142
20513 9 22183
14308 9 13228
12689 9 12689
31099 9 7223
8513 10 25141
17816 9 930
23601 0 7791
12689 9 16838
3448 1 4451
27794 9 12689
28011 9 16600
16827 7 13533
10687 9 4249
24530 0 16050
17519 9 15579
11267 0 32268
27400 9 28011
32049 9 8402
16770 9 27844
22982 6 12325
1944 9 12689
5624 0 8504
12689 9 12689
18011 10 6008
17698 9 3972
2520 0 16554
18141 9 5465
31963 3 4249
12689 9 6414
2033 0 25538
2375 9 20513
25841 2 20217
24427 9 20410
6659 8 4209
2708 9 31113
22328 0 8857
12689 9 27821
15024 0 21784
19050 9 18907
28017 0 16509
11213 9 4185
16926 0 13970
26036 9 25821
29927 9 9509
12814 6 17199
10917 9 11193
14516 7 2792
28011 9 31061
13602 0 11061
12689 9 17748
906 0 13714
12689 9 28011
29009 10 20226
20894 9 28011
10509 9 12689
29106 2 22468
5090 9 10156
22169 9 29382
5375 0 4553
6635 9 27844
31293 9 13578
9634 9 27697
14033 2 20687
28011 9 12689
6338 5 1971
7808 9 4905
22196 8 27456
29528 9 16287
11545 1 13002
8409 9 839
29885 8 24299
18326 9 28011
15650 2 14105
28011 9 28011
18507 0 21782
13832 9 17287
12544 0 8246
33311 9 31017
22074 0 8129
3697 9 28011
15273 9 28011
26203 0 26602
26760 9 9823
6981 6 5574
27046 9 2336
25554 9 6711
7788 0 18737
18507 9 28011
32669 2 27724
18605 9 12289
31286 6 1
12689 9 2018
18013 9 19956
15368 9 10002
20974 0 28983
12689 9 5354
26857 0 4338
25426 9 27015
17383 0 7047
8537 9 12689
25176 9 12689
21943 8 21945
6100 9 25337
4627 0 14190
1523 9 17139
20652 0 15726
23449 9 18013
28764 2 24701
12069 9 19059
11812 0 23437
8107 9 9509
11213 9 12689
938 0 18819
10227 9 31934
5337 5 22885
27794 9 23411
2254 9 4905
4061 3 30625
19415 9 28011
13823 8 28177
10220 9 2375
27874 8 440
9954 9 26679
17224 0 22625
10381 9 12689
17867 9 28011
