33330 12
6271 11 28017
6271 10 8660
19933 11 12126
19933 0 13434
13590 11 19660
13590 0 10284
23829 5 24693
15094 11 25659
9073 7 16621
9073 6 7796
4082 11 6968
4082 0 30332
33180 11 27559
3643 11 17356
3643 5 511
23938 11 6701
23938 0 12740
23938 0 30367
23938 0 10854
23938 0 9063
23938 0 23532
29204 5 19840
29204 8 1744
24823 11 27892
24823 0 26920
24823 0 20334
24823 0 28445
24823 0 27361
24823 0 30223
30326 11 25613
30326 5 1156
11286 11 30269
11286 5 9208
544 1 13099
8502 11 5966
8502 5 1868
8502 6 255
4163 7 11955
4163 7 27119
4163 7 16645
4163 0 12521
16819 3 13314
16819 7 1030
17023 0 21532
30269 11 32812
30269 0 22430
30269 0 13559
30269 0 31867
30269 0 10361
30269 6 8729
30269 0 24225
30269 0 8628
30269 6 30609
30269 0 25650
30269 0 31997
30269 0 20235
30269 0 28745
30269 0 29594
3759 11 723
3759 0 24942
29814 7 20656
29814 6 3547
28219 11 22292
28219 0 29373
2456 11 10982
1828 11 25070
1828 5 4705
31128 11 29861
31128 8 11386
31128 8 21747
31128 8 21789
31128 8 29831
31128 8 26455
31128 8 14820
31128 8 31438
31128 8 30035
31128 8 28958
31128 8 10868
31128 8 32845
31128 8 1626
31128 8 14595
31128 8 23910
31128 8 15781
31128 8 5442
31128 8 3947
31128 8 3289
31128 8 15662
31128 8 13006
31128 8 26447
31128 8 17700
31128 8 24876
31128 8 25525
31128 8 10106
31128 8 17422
31128 8 14172
31128 8 24314
31128 8 1014
31128 8 12970
624 3 26124
624 7 7096
26052 11 23888
26052 5 212
8148 11 25472
8148 5 12766
31087 11 18265
31087 5 27695
27451 11 13252
27451 8 8707
16237 11 13739
16237 0 3203
14657 5 30009
14657 8 31941
15471 11 6786
15471 0 32212
4910 11 32863
4910 5 3657
4910 8 5877
11975 11 9239
11975 7 2689
3274 11 26917
3274 0 19516
8428 11 11548
22706 3 7251
22706 3 11186
8483 11 20805
8483 7 21481
24319 5 17392
24319 8 388
24319 8 5270
11510 11 15772
20437 11 32862
20437 7 26014
6750 3 32636
6750 7 13182
5852 5 10727
5852 6 20300
30926 11 10601
30926 0 19836
14726 11 7005
14726 0 10942
19896 0 22453
19896 0 6484
19896 0 1516
19896 0 12487
19896 0 18976
19896 0 17987
19896 0 2933
19896 0 22282
19896 0 13768
19896 0 19296
19896 0 19773
19896 0 2725
19896 0 15324
19896 0 8262
19896 0 10771
19896 0 27240
19896 0 23259
25239 11 26694
25239 5 30373
24367 11 13931
24367 5 21220
24367 8 1476
24367 8 4932
24751 1 15972
17072 11 12359
17072 5 31657
23189 11 22031
23189 5 26568
23189 8 22936
28142 11 20742
28142 10 6008
22739 0 14416
26436 11 30278
26436 5 16834
30662 0 16522
30662 0 20375
30662 0 5594
28164 11 15284
28164 0 19452
3655 11 25070
3655 5 27855
30977 0 6787
30977 0 25677
30977 0 7451
30438 11 2694
30438 0 13248
30438 0 12467
30438 0 12765
30438 0 13796
29760 0 18480
13736 11 30401
3179 11 17086
3179 5 11642
3179 0 1013
3179 0 5464
3179 0 5274
3179 6 7190
1855 11 17256
1855 5 2788
1855 8 16410
18195 11 29394
18195 6 32747
12969 11 4010
12969 10 11736
29568 8 568
29568 8 8237
29568 8 13087
29568 8 1775
29568 8 17997
1954 11 1571
1954 10 6503
10659 5 18492
22827 11 16895
22827 5 4978
24303 10 23299
23 3 13697
23 7 30653
27593 5 8783
27593 0 20211
27593 0 24398
27593 0 10275
22960 11 1310
22960 5 18512
3388 11 8581
3388 7 25835
28979 2 1903
28979 2 15490
28979 2 5298
28979 2 16015
28979 2 27627
28979 2 6277
28979 2 11672
28979 2 9522
22886 11 32482
7066 8 369
7066 8 26331
7066 8 30120
7066 8 10270
7066 8 4120
7066 8 12204
7066 8 11904
7066 8 4464
7066 8 16581
7066 8 10517
7066 8 17607
17661 11 14662
17661 5 14099
17661 8 8307
1093 0 17402
1093 0 6646
1093 0 19035
1093 0 13255
1093 0 12765
14363 11 30674
14363 10 6008
32076 11 32863
32076 5 31904
5112 6 16396
5112 6 7372
5112 6 8360
12187 11 8449
12187 0 24501
13668 11 22724
12635 11 21102
17453 0 22194
19154 11 7011
19154 5 33301
28582 11 9468
28582 0 5705
28582 0 9468
7818 6 25527
7818 6 6229
7818 6 3875
7818 6 2518
7818 6 21594
5342 11 13773
25158 11 29076
25158 6 1698
25158 0 23387
23654 11 32440
23654 5 17886
24248 11 22724
24248 5 15474
32528 11 17287
28720 3 27341
28720 7 3043
28720 7 17934
28720 6 15542
4291 11 17686
4291 5 18158
26133 11 12193
26133 11 32173
18457 11 32465
12688 11 21544
20135 11 15581
20135 10 20226
5795 11 16700
5795 0 19358
5795 0 20920
5795 6 11462
5795 0 10488
5795 0 15136
23990 11 8134
23990 11 12545
7242 1 27618
7242 1 15881
23107 11 16287
23107 7 21616
23107 0 23651
23107 0 21094
23107 0 24210
23107 0 3183
16652 6 4478
2880 11 5874
2880 10 11622
1295 11 2301
3810 11 14552
3810 5 5521
3810 0 5623
3810 0 15305
19743 3 13667
19743 7 71
32712 11 2144
32712 0 2163
32712 0 25090
1482 4 30071
1482 6 23636
1482 0 6404
1482 6 3379
1482 6 4487
1482 6 20745
1482 6 1118
1482 6 20060
1482 6 18075
1482 6 25620
1482 6 14861
1482 6 26748
1482 6 29989
1482 6 16153
1482 6 8773
1482 6 28939
1482 6 27426
1482 6 13369
1482 6 18704
1482 6 9341
1482 6 11251
1482 6 22688
1482 6 33228
1482 6 30689
1482 6 21825
1482 6 15019
1482 6 31619
1482 6 9286
1482 6 9366
9577 11 18758
9577 7 2670
10291 11 17219
10291 0 31516
10291 0 9721
10291 0 1368
10291 0 27258
29301 3 13314
29301 7 12888
17335 11 9365
17335 6 3879
25114 11 32645
25114 7 1860
26557 11 22333
26680 11 14480
26680 0 17096
26680 0 8589
16157 11 16432
16157 10 22811
29813 11 9105
29813 5 23791
26340 11 24616
26340 6 26343
30944 11 13282
4351 11 27295
4351 5 22393
17535 11 14106
17535 0 21168
12282 11 32863
12282 8 17381
31710 0 30511
7538 11 1310
7538 5 27984
4047 11 25130
4047 0 14888
13885 11 30524
13885 11 7104
13885 0 11558
15658 11 23411
14545 3 4249
14545 3 6635
14545 7 18723
30882 3 6635
21924 0 21512
21924 0 21530
9853 3 21956
23458 11 48
8832 8 15032
26661 5 12906
26661 8 20343
3109 11 17181
3109 5 24342
12994 11 22282
2009 11 25710
2009 5 23312
32532 11 30639
32532 5 21398
634 11 27688
634 0 534
22952 11 2033
29132 11 22187
29132 8 11357
29132 2 15417
32331 11 1310
32331 5 8074
22584 11 5127
22584 10 25841
18078 11 20652
18078 5 10405
16339 0 20163
16339 0 5224
16339 0 18179
16339 0 26790
16339 6 9758
16339 0 13702
16339 0 21819
16339 6 31170
16339 6 22674
16339 0 21831
16339 0 2279
16339 8 6598
16339 8 16460
7398 11 9149
7398 0 29128
24639 11 15774
24639 10 20226
27133 11 6908
27133 0 30920
27133 0 7652
27133 0 9469
27133 0 25147
27133 0 18090
27133 0 6236
27133 0 3585
27133 0 26504
27133 0 5269
27133 0 21328
245 11 27050
245 5 18653
27662 11 8315
12791 11 19737
2587 11 6014
2587 0 33250
2587 0 12083
