33330 12
9634 9 28011
1735 0 11033
9634 9 12689
25966 8 30641
13800 5 5521
8061 0 21564
32951 9 28011
24527 9 19732
1497 9 12689
25973 9 18013
30981 5 13032
28011 9 12961
13672 6 9224
9315 9 16634
7753 7 17254
4249 0 21149
18269 9 2875
18760 9 12689
22282 0 6484
9284 9 14815
27040 11 31262
28333 11 6980
5354 9 8895
9634 9 12362
23575 9 20219
28011 9 8936
28011 9 9634
23449 9 12689
32038 11 4654
22031 0 4255
23855 9 15489
26138 9 23855
576 9 16224
4139 9 18714
9457 9 12289
12689 9 28136
25156 9 6032
9225 9 875
12689 9 71
28011 9 5420
28011 9 28011
9361 11 30939
29998 9 5425
24686 9 12689
12689 9 12689
9548 9 12689
33209 9 10178
12689 9 1326
32254 0 12864
12289 9 25197
23282 0 207
17846 9 27460
16121 9 12689
12289 9 12689
10568 9 4205
12289 9 29092
11762 9 2375
28011 9 5427
6931 9 28011
11156 9 8456
9823 9 12289
1743 0 17049
9457 9 30049
17950 9 16888
18416 9 22018
7452 9 22918
4615 9 26377
12689 9 3914
27678 6 11238
18081 9 28011
28011 9 4801
28011 9 6398
4526 0 692
7808 9 21907
13626 9 28011
10893 9 32622
28011 9 19193
27844 9 14691
22551 9 12689
5427 9 28011
28011 9 27200
12362 9 7808
12289 9 8595
5742 9 2185
5947 11 6456
9509 9 7223
12689 9 4633
32321 9 26377
4185 9 28011
2137 9 13156
28716 9 28650
11462 9 29660
28777 9 23466
27015 9 5440
28011 9 2708
17435 11 29232
12689 9 12362
15873 8 3217
416 9 32943
19276 9 25196
12289 9 28011
5268 5 5757
28634 2 20200
31942 9 10596
18326 9 27316
28011 9 15984
28547 1 31383
14289 9 7563
227 9 12689
28011 9 12289
6100 9 18988
27466 9 31123
914 9 9419
9419 9 28011
22036 9 21672
9457 0 20384
9634 9 1112
10835 9 20491
21672 9 30512
26124 9 26124
28011 9 12689
13626 9 28011
31435 9 28011
32592 9 4896
19568 9 28011
1112 9 5427
6927 9 28011
13131 9 12689
18201 9 28011
9394 7 9394
27844 9 12689
31720 9 31720
26264 9 28650
1001 5 10511
8402 9 17748
2933 9 25105
10380 9 31393
14184 9 23480
30434 9 1728
23243 9 13636
15966 0 5747
4179 0 25695
8686 9 31946
